away_score,home_score,away_team,home_team,match_date,match_id,id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,relatedEventId,relatedPlayerId,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,isGoal,cardType,team,player,event,outcome,period_value,period_name,qual_Zone,qual_PassEndX,qual_PassEndY,qual_Length,qual_Angle,qual_Longball,qual_Chipped,qual_Head,qual_HeadPass,qual_OppositeRelatedEvent,qual_Offensive,qual_StandingSave,qual_Defensive,qual_ThrowIn,qual_GoalKick,qual_ShotAssist,qual_KeyPass,qual_OutOfBoxCentre,qual_RegularPlay,qual_Assisted,qual_RelatedEventId,qual_LeftFoot,qual_GoalMouthY,qual_GoalMouthZ,qual_BlockedX,qual_BlockedY,qual_IndividualPlay,qual_Collected,qual_DivingSave,qual_Hands,qual_FromShotOffTarget,qual_Foul,qual_FreekickTaken,qual_IntentionalAssist,qual_BoxCentre,qual_RightFoot,qual_LowCentre,qual_Blocked,qual_OutfielderBlock,qual_LeadingToAttempt,qual_MissRight,qual_Cross,qual_HighLeft,qual_FirstTouch,qual_LayOff,qual_MissHigh,qual_AerialFoul,qual_BoxRight,qual_Throughball,qual_KeeperThrow,qual_HighClaim,qual_SmallBoxCentre,qual_LowRight,qual_BigChance,qual_ParriedDanger,qual_Feet,qual_KeeperSaveInSixYard,qual_KeeperSaveInTheBox,qual_HighCentre,qual_MissLeft,qual_SetPiece,qual_BoxLeft,qual_LowLeft,qual_SixYardBlock,qual_PlayerCaughtOffside,qual_IndirectFreekickTaken,qual_BlockedCross,qual_Yellow,qual_HighRight,qual_CornerTaken,qual_PlayerPosition,qual_JerseyNumber,qual_FormationSlot,qual_BigChanceCreated,qual_InvolvedPlayers,qual_TeamFormation,qual_TeamPlayerFormation,qual_CaptainPlayerId,qual_ParriedSafe
1,0,Scotland,Haiti,2026-06-14,1953859,2944529179.0,1,0,0.0,2693,0.0,0.0,0,"{'value': 16, 'displayName': 'PreMatch'}","{'value': 34, 'displayName': 'FormationSet'}","{'value': 1, 'displayName': 'Successful'}","[{'type': {'value': 30, 'displayName': 'InvolvedPlayers'}, 'value': '34069,313385,555256,431360,145264,367189,487365,320242,363535,443795,404551,406764,487356,599152,515128,318923,296215,555257,555268,422218,413679,486042,374992,561187,622515,561194'}, {'type': {'value': 44, 'displayName': 'PlayerPosition'}, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'type': {'value': 59, 'displayName': 'JerseyNumber'}, 'value': '1, 2, 8, 17, 4, 5, 11, 10, 18, 20, 15, 12, 23, 3, 6, 7, 9, 13, 14, 16, 19, 21, 22, 24, 25, 26'}, {'type': {'value': 130, 'displayName': 'TeamFormation'}, 'value': '2'}, {'type': {'value': 131, 'displayName': 'TeamPlayerFormation'}, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'type': {'value': 194, 'displayName': 'CaptainPlayerId'}, 'value': '34069'}]",[],False,,,,,,,,,,,,,Haiti,,FormationSet,Successful,16,PreMatch,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5","1, 2, 8, 17, 4, 5, 11, 10, 18, 20, 15, 12, 23, 3, 6, 7, 9, 13, 14, 16, 19, 21, 22, 24, 25, 26",False,False,"34069,313385,555256,431360,145264,367189,487365,320242,363535,443795,404551,406764,487356,599152,515128,318923,296215,555257,555268,422218,413679,486042,374992,561187,622515,561194",2,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",34069,False
1,0,Scotland,Haiti,2026-06-14,1953859,2944529481.0,1,0,0.0,424,0.0,0.0,0,"{'value': 16, 'displayName': 'PreMatch'}","{'value': 34, 'displayName': 'FormationSet'}","{'value': 1, 'displayName': 'Successful'}","[{'type': {'value': 30, 'displayName': 'InvolvedPlayers'}, 'value': '318896,402367,115726,336915,86593,280210,430350,396971,256419,384861,318449,371756,8280,297403,563778,396795,128882,397143,363298,300049,317547,396975,82917,291944,533012,364624'}, {'type': {'value': 44, 'displayName': 'PlayerPosition'}, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'type': {'value': 59, 'displayName': 'JerseyNumber'}, 'value': '1, 2, 3, 4, 5, 13, 17, 19, 10, 20, 7, 12, 21, 6, 8, 9, 11, 14, 15, 16, 18, 22, 23, 24, 25, 26'}, {'type': {'value': 130, 'displayName': 'TeamFormation'}, 'value': '2'}, {'type': {'value': 131, 'displayName': 'TeamPlayerFormation'}, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'type': {'value': 194, 'displayName': 'CaptainPlayerId'}, 'value': '115726'}]",[],False,,,,,,,,,,,,,Scotland,,FormationSet,Successful,16,PreMatch,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5","1, 2, 3, 4, 5, 13, 17, 19, 10, 20, 7, 12, 21, 6, 8, 9, 11, 14, 15, 16, 18, 22, 23, 24, 25, 26",False,False,"318896,402367,115726,336915,86593,280210,430350,396971,256419,384861,318449,371756,8280,297403,563778,396795,128882,397143,363298,300049,317547,396975,82917,291944,533012,364624",2,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",115726,False
1,0,Scotland,Haiti,2026-06-14,1953859,2944559111.0,2,0,0.0,424,0.0,0.0,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 32, 'displayName': 'Start'}","{'value': 1, 'displayName': 'Successful'}",[],[],False,,,,,,,,,,,,,Scotland,,Start,Successful,1,FirstHalf,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,0,Scotland,Haiti,2026-06-14,1953859,2944559113.0,2,0,0.0,2693,0.0,0.0,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 32, 'displayName': 'Start'}","{'value': 1, 'displayName': 'Successful'}",[],[],False,,,,,,,,,,,,,Haiti,,Start,Successful,1,FirstHalf,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,0,Scotland,Haiti,2026-06-14,1953859,2944559125.0,3,0,0.0,424,50.1,49.9,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 1, 'displayName': 'Successful'}","[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '45.8'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '53.3'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '5.1'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '2.67'}]","[91, 117, 30, 35, 37, 216, 218]",True,384861.0,45.8,53.3,,,,,,,,,,Scotland,Lawrence Shankland,Pass,Successful,1,FirstHalf,Back,45.8,53.3,5.1,2.67,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,0,Scotland,Haiti,2026-06-14,1953859,2944592045.0,764,0,0.0,424,0.0,0.0,13,"{'value': 14, 'displayName': 'PostGame'}","{'value': 30, 'displayName': 'End'}","{'value': 1, 'displayName': 'Successful'}",[],[],False,,,,,,,,,,,,,Scotland,,End,Successful,14,PostGame,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,0,Scotland,Haiti,2026-06-14,1953859,2944592053.0,832,0,0.0,2693,0.0,0.0,13,"{'value': 14, 'displayName': 'PostGame'}","{'value': 30, 'displayName': 'End'}","{'value': 1, 'displayName': 'Successful'}",[],[],False,,,,,,,,,,,,,Haiti,,End,Successful,14,PostGame,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,0,Scotland,Haiti,2026-06-14,1953859,2944559135.0,4,0,1.0,424,46.4,51.9,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 0, 'displayName': 'Unsuccessful'}","[{'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '78.2'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '11.6'}, {'type': {'value': 155, 'displayName': 'Chipped'}}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '43.2'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '5.60'}]","[91, 120, 124, 128, 36, 38, 217, 218]",True,396971.0,78.2,11.6,,,,,,,,,,Scotland,Lewis Ferguson,Pass,Unsuccessful,1,FirstHalf,Right,78.2,11.6,43.2,5.60,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,0,Scotland,Haiti,2026-06-14,1953859,2944559141.0,3,0,5.0,2693,24.4,80.5,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 12, 'displayName': 'Clearance'}","{'value': 1, 'displayName': 'Successful'}","[{'type': {'value': 15, 'displayName': 'Head'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '34.7'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '84.1'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '11.1'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.22'}]","[91, 94, 95, 57, 216]",True,555256.0,34.7,84.1,,,,,,,,,,Haiti,Martin Expérience,Clearance,Successful,1,FirstHalf,Back,34.7,84.1,11.1,0.22,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,0,Scotland,Haiti,2026-06-14,1953859,2944559165.0,5,0,8.0,424,66.3,12.9,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 1, 'displayName': 'Successful'}","[{'type': {'value': 3, 'displayName': 'HeadPass'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '83.5'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '5.6'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '18.7'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '6.01'}]","[91, 119, 117, 30, 139, 205, 36, 38, 217, 218]",True,402367.0,83.5,5.6,,,,,,,,,,Scotland,Aaron Hickey,Pass,Successful,1,FirstHalf,Right,83.5,5.6,18.7,6.01,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
